###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57447.298940  12.932  0.003 24381   64 o  0 116.75  90.26700 -18.96770  7006.00  2305.76 4.10 3.60   3.6 -0.524 19.18 20.88 02a57447o0197o
57447.316070  12.928  0.003 24478   64 o  0  90.33  90.26700 -18.96770  8151.49  1715.97 4.50 3.78  12.1 -0.526 19.17 20.93 02a57447o0231o
57447.332588  12.919  0.003 24678   64 o  0 111.11  90.26700 -18.96770  8008.41  1484.84 4.50 3.69  10.6 -0.534 19.19 20.91 02a57447o0264o
57453.280689  13.441  0.003 15265   47 c  0  52.32  90.26700 -18.96770  7125.30  2709.58 4.13 3.92  20.0 -0.471 19.46 21.44 02a57453o0127c
57453.297612  13.432  0.003 15386   46 c  0  66.37  90.26700 -18.96770  6855.41  2128.81 4.32 3.89   8.2 -0.484 19.46 21.45 02a57453o0161c
57453.313915  13.423  0.003 15515   48 c  0  37.02  90.26700 -18.96770  8021.36  1539.20 4.66 3.95  13.1 -0.485 19.46 21.46 02a57453o0194c
57453.330097  13.427  0.003 15454   49 c  0  45.78  90.26700 -18.96770  8006.31  1480.73 4.43 3.85  12.6 -0.489 19.48 21.47 02a57453o0227c
57457.269603  13.429  0.003 15426   47 c  0  56.72  90.26700 -18.96770  7200.16  2652.08 4.50 4.03  12.0 -0.484 19.45 21.48 02a57457o0128c
57457.288218  13.423  0.003 15515   48 c  0  49.84  90.26700 -18.96770  6912.03  2070.00 4.81 3.94   2.9 -0.501 19.47 21.52 02a57457o0165c
57457.306043  13.414  0.003 15653   48 c  0  47.57  90.26700 -18.96770  8078.14  1479.50 4.91 4.03  13.4 -0.500 19.51 21.56 02a57457o0201c
57457.328477  13.405  0.003 15779   50 c  0  36.47  90.26700 -18.96770  8007.74  1481.32 4.97 4.04  10.9 -0.493 19.48 21.55 02a57457o0233c
57461.256016  13.416  0.010 15613  153 c  0   2.30  90.26700 -18.96770  7126.80  2746.93 4.09 3.92  39.6 -0.484 17.28 18.40 02a57461o0094c
57461.273361  13.426  0.004 15471   59 c  0  20.68  90.26700 -18.96770  6855.39  2165.31 4.25 3.86   6.8 -0.502 18.73 20.17 02a57461o0129c
57461.290555  13.429  0.009 15430  132 c  0   2.95  90.26700 -18.96770  8021.19  1577.76 4.26 3.76  14.6 -0.531 17.36 18.47 02a57461o0164c
57461.307228  13.423  0.004 15512   58 c  0  15.11  90.26700 -18.96770  8007.03  1481.17 4.68 3.94   8.2 -0.484 18.77 20.22 02a57461o0198c
57465.237953  12.915  0.003 24775   83 o  0  25.65  90.26700 -18.96770  7297.73  2494.06 3.90 3.73  40.7 -0.530 18.38 19.46 02a57465o0062o
57465.251745  12.896  0.003 25207   87 o  0  38.36  90.26700 -18.96770  7008.81  1912.36 4.22 3.35   6.9 -0.518 18.38 19.43 02a57465o0090o
57465.269115  12.912  0.004 24840   87 o  0  14.87  90.26700 -18.96770  8177.96  1324.87 5.16 4.09  15.3 -0.547 18.31 19.43 02a57465o0125o
57465.285362  12.879  0.003 25615   88 o  0  36.61  90.26700 -18.96770  7994.86  1483.32 4.18 3.67   9.2 -0.546 18.38 19.40 02a57465o0158o
57469.243265  12.931  0.004 24419   92 o  0   4.94  90.26700 -18.96770  7992.48  1479.87 5.57 4.63  15.7 -0.502 18.06 19.21 02a57469o0079o
57477.227977  12.936  0.004 24295   86 o  0  27.99  90.26700 -18.96770  7282.45  2477.48 3.57 3.31  88.6 -0.525 18.08 18.78 02a57477o0043o
57477.238363  12.933  0.003 24359   70 o  0  65.89  90.26700 -18.96770  7010.68  1896.36 4.04 3.56   5.7 -0.512 18.90 20.44 02a57477o0064o
57477.251611  12.890  0.003 25340   71 o  0  59.35  90.26700 -18.96770  8156.91  1302.29 4.54 3.64  12.3 -0.528 18.97 20.57 02a57477o0091o
57477.269024  12.898  0.003 25166   72 o  0  47.26  90.26700 -18.96770  7992.57  1477.83 4.64 3.82  11.5 -0.525 18.93 20.58 02a57477o0126o
57481.235033  13.433  0.003 15381   54 c  0  21.64  90.26700 -18.96770  7045.96  2649.09 3.97 3.76  81.9 -0.477 18.94 20.41 02a57481o0062c
57481.246571  13.423  0.003 15523   53 c  0  30.46  90.26700 -18.96770  6759.19  2067.01 4.01 3.91  -6.5 -0.476 19.25 21.10 02a57481o0085c
57481.259993  13.414  0.003 15647   53 c  0  42.01  90.26700 -18.96770  7921.81  1475.69 4.08 3.86  13.0 -0.490 19.25 21.02 02a57481o0112c
57481.274835  13.419  0.004 15580   55 c  0  28.26  90.26700 -18.96770  7999.33  1475.27 4.24 3.87  16.0 -0.496 19.18 20.89 02a57481o0142c
57485.227525  13.425  0.008 15490  132 c  0   1.87  90.26700 -18.96770  6942.72  2539.55 4.46 4.32  38.7 -0.486 17.53 18.15 02a57485o0032c
